frozen,train_accuracy,val_accuracy,layer_0_training_separability_train,layer_0_testing_separability_train,layer_0_testing_separability_test,layer_0_training_separability_test,layer_1_training_separability_train,layer_1_testing_separability_train,layer_1_testing_separability_test,layer_1_training_separability_test,layer_2_training_separability_train,layer_2_testing_separability_train,layer_2_testing_separability_test,layer_2_training_separability_test,layer_3_training_separability_train,layer_3_testing_separability_train,layer_3_testing_separability_test,layer_3_training_separability_test,layer_4_training_separability_train,layer_4_testing_separability_train,layer_4_testing_separability_test,layer_4_training_separability_test,layer_5_training_separability_train,layer_5_testing_separability_train,layer_5_testing_separability_test,layer_5_training_separability_test
True,0.8658000230789185,0.4668000042438507,0.45292,0.4394,0.4442,0.44076,0.53274,0.4894,0.5502,0.49028,0.5434,0.4827,0.49,0.52844,0.62706,0.5042,0.5195,0.58436,0.67156,0.5057,0.5584,0.58982,0.76152,0.4769,0.4901,0.6611
True,0.8616200089454651,0.4578000009059906,0.4484,0.4324,0.434,0.4355,0.53082,0.4905,0.5459,0.4914,0.54352,0.4816,0.4915,0.52858,0.61976,0.5018,0.5268,0.58126,0.66724,0.5078,0.5611,0.59138,0.74364,0.4659,0.4823,0.65558
True,0.85698002576828,0.4609000086784363,0.44056,0.4257,0.4273,0.42912,0.52464,0.49,0.5502,0.48902,0.53572,0.4846,0.489,0.52204,0.6157,0.5034,0.5291,0.56812,0.65998,0.5052,0.5603,0.57892,0.74126,0.4688,0.4846,0.64214
True,0.8443599939346313,0.4632999897003174,0.4277,0.4178,0.4211,0.42004,0.5187,0.4884,0.5448,0.48392,0.52262,0.4745,0.4782,0.5093,0.5978,0.4938,0.5217,0.55482,0.64696,0.5039,0.5558,0.57038,0.73676,0.4678,0.4848,0.63852
True,0.8532199859619141,0.45239999890327454,0.4372,0.4228,0.4254,0.42772,0.51974,0.4861,0.539,0.47982,0.52042,0.4851,0.4914,0.50774,0.59522,0.4896,0.5183,0.55198,0.63972,0.4972,0.5556,0.5641,0.73204,0.4565,0.4739,0.64216
True,0.865119993686676,0.45660001039505005,0.45006,0.435,0.4409,0.44174,0.52578,0.4798,0.5417,0.48442,0.53536,0.4819,0.4869,0.5202,0.61136,0.4905,0.5146,0.56418,0.65996,0.494,0.5517,0.57492,0.74504,0.4658,0.4811,0.64218
True,0.8635799884796143,0.4684000015258789,0.4432,0.4201,0.423,0.43364,0.5275,0.4809,0.5432,0.48688,0.53414,0.4739,0.4873,0.51634,0.61802,0.4992,0.5211,0.57114,0.66588,0.5019,0.5559,0.58724,0.7752,0.4797,0.4907,0.6633
True,0.8446400165557861,0.4593999981880188,0.43808,0.4277,0.4319,0.42836,0.52248,0.4892,0.5494,0.4844,0.5233,0.4762,0.4885,0.5095,0.60104,0.4966,0.5237,0.56018,0.64958,0.503,0.5581,0.56958,0.74156,0.4657,0.479,0.64012
True,0.8494600057601929,0.4738999903202057,0.45156,0.4393,0.4425,0.43906,0.52572,0.4905,0.5496,0.4842,0.5336,0.4814,0.4847,0.5182,0.60972,0.4999,0.5234,0.57188,0.65566,0.509,0.5605,0.58326,0.73704,0.4727,0.4905,0.64684
True,0.8484799861907959,0.46309998631477356,0.43076,0.4159,0.4214,0.42312,0.51918,0.4819,0.5373,0.4788,0.52992,0.4797,0.4865,0.51658,0.60558,0.4947,0.5211,0.56224,0.65198,0.5008,0.5515,0.57496,0.73226,0.4651,0.4724,0.64004
True,0.8575800061225891,0.4641000032424927,0.44038,0.4264,0.4303,0.43052,0.52544,0.4919,0.5497,0.4851,0.5346,0.4859,0.4948,0.51656,0.60736,0.5014,0.5312,0.5665,0.65446,0.5069,0.5579,0.57934,0.74576,0.4669,0.4793,0.64562
True,0.8619400262832642,0.4611999988555908,0.42728,0.4112,0.4182,0.41774,0.524,0.4814,0.5462,0.48124,0.53788,0.482,0.4929,0.51936,0.61502,0.5041,0.5258,0.5701,0.66364,0.5038,0.5611,0.58238,0.7518,0.471,0.485,0.6569
True,0.8650000095367432,0.46889999508857727,0.44058,0.4251,0.4285,0.43062,0.52528,0.4864,0.5506,0.48332,0.53706,0.4781,0.491,0.51822,0.6118,0.4997,0.5186,0.56704,0.66152,0.5064,0.5599,0.57912,0.75258,0.4725,0.4882,0.65682
True,0.8539000153541565,0.46209999918937683,0.4425,0.4256,0.4318,0.43178,0.52388,0.4924,0.5496,0.48468,0.53198,0.4873,0.488,0.51916,0.60304,0.5021,0.5263,0.56378,0.6452,0.5053,0.5595,0.57376,0.71886,0.4699,0.4799,0.62558
True,0.8629400134086609,0.45809999108314514,0.43706,0.4267,0.4251,0.42588,0.5257,0.4875,0.5474,0.4857,0.54118,0.4763,0.4902,0.52298,0.611,0.4894,0.5196,0.57298,0.66102,0.4969,0.5531,0.58566,0.76008,0.4605,0.4854,0.65922
False,0.8762800097465515,0.46059998869895935,0.42376,0.4179,0.4176,0.41594,0.52372,0.4869,0.5253,0.4869,0.56902,0.481,0.5007,0.5333,0.66328,0.4808,0.5081,0.59006,0.79446,0.47,0.5339,0.63432,0.85132,0.4527,0.4831,0.72608
False,0.887220025062561,0.45559999346733093,0.42768,0.4201,0.4242,0.4195,0.52386,0.4923,0.5312,0.48718,0.5747,0.4818,0.5135,0.52814,0.66732,0.4745,0.5072,0.58832,0.78446,0.4665,0.5292,0.63558,0.83326,0.4516,0.4859,0.70324
False,0.883620023727417,0.4496000111103058,0.42368,0.4137,0.4175,0.41928,0.51482,0.485,0.5267,0.48398,0.5561,0.4829,0.4989,0.51548,0.6463,0.4739,0.5045,0.58156,0.77574,0.476,0.5335,0.62662,0.82296,0.4482,0.4839,0.71048
False,0.8756399750709534,0.4514999985694885,0.42226,0.4172,0.4188,0.4142,0.52164,0.4913,0.5314,0.48968,0.56532,0.4773,0.5011,0.5328,0.65618,0.483,0.5092,0.58908,0.77938,0.4716,0.5311,0.63874,0.83158,0.454,0.4843,0.69928
False,0.8718600273132324,0.4462999999523163,0.42578,0.4153,0.4151,0.42012,0.52226,0.4808,0.5258,0.48602,0.56512,0.4749,0.4935,0.52452,0.66114,0.473,0.5076,0.58172,0.78542,0.4655,0.5294,0.62156,0.83868,0.442,0.4847,0.70104
False,0.8756600022315979,0.45170000195503235,0.41814,0.411,0.4143,0.41082,0.51838,0.488,0.5319,0.4858,0.55758,0.4797,0.5061,0.52098,0.64872,0.4864,0.5121,0.57688,0.77284,0.4795,0.5366,0.62508,0.83138,0.4553,0.4916,0.69844
False,0.8887199759483337,0.45910000801086426,0.43534,0.4257,0.4309,0.42676,0.53906,0.4919,0.5349,0.50108,0.60048,0.4818,0.5134,0.55526,0.69334,0.4834,0.5111,0.61048,0.78956,0.4743,0.5295,0.6482,0.81864,0.4601,0.4864,0.73402
False,0.8679599761962891,0.44859999418258667,0.4263,0.4125,0.4126,0.4174,0.52482,0.488,0.5303,0.49138,0.56756,0.4739,0.4962,0.5312,0.65946,0.4753,0.5078,0.59022,0.78026,0.4656,0.5278,0.63446,0.8395,0.4534,0.4839,0.71656
False,0.890720009803772,0.4657000005245209,0.44222,0.4241,0.4335,0.43204,0.53776,0.4948,0.5368,0.50164,0.60466,0.4919,0.5163,0.55544,0.70728,0.4898,0.5175,0.6218,0.8283,0.4802,0.5393,0.67224,0.86754,0.4646,0.4899,0.7573
False,0.8835999965667725,0.4542999863624573,0.41878,0.4077,0.4099,0.4135,0.52516,0.4843,0.5257,0.49292,0.5773,0.4859,0.5051,0.53908,0.67736,0.4786,0.5153,0.60006,0.80468,0.4733,0.5345,0.65346,0.8637,0.4582,0.4958,0.73712
False,0.892300009727478,0.4602000117301941,0.43094,0.4225,0.4211,0.42112,0.5334,0.4891,0.5333,0.49726,0.59164,0.4831,0.5104,0.5467,0.68588,0.4816,0.5134,0.60334,0.80114,0.4731,0.5336,0.65158,0.84212,0.4627,0.4889,0.72584
False,0.8796399831771851,0.45680001378059387,0.43178,0.4205,0.4212,0.42532,0.52692,0.4835,0.5262,0.49126,0.58438,0.4829,0.505,0.53918,0.69058,0.477,0.5098,0.60676,0.8204,0.4719,0.5327,0.65442,0.86568,0.4556,0.4846,0.74612
False,0.8946800231933594,0.4542999863624573,0.41864,0.4079,0.4114,0.41394,0.52286,0.4864,0.5253,0.49108,0.57794,0.4717,0.5034,0.5352,0.6811,0.4782,0.506,0.60592,0.81108,0.4686,0.5376,0.65068,0.8614,0.456,0.4793,0.74072
False,0.8809199929237366,0.4625000059604645,0.42594,0.4187,0.4216,0.4176,0.53236,0.4928,0.5323,0.49582,0.5797,0.4837,0.509,0.54406,0.67264,0.4817,0.5126,0.60308,0.8016,0.4813,0.5345,0.64846,0.84606,0.4617,0.4893,0.73192
False,0.8865000009536743,0.44780001044273376,0.431,0.4239,0.4214,0.42184,0.52346,0.4865,0.5271,0.48786,0.57346,0.4768,0.51,0.52724,0.67414,0.4812,0.5134,0.58804,0.80302,0.4717,0.5282,0.63242,0.8543,0.4472,0.4783,0.72482
False,0.8915799856185913,0.46549999713897705,0.43522,0.427,0.4272,0.42666,0.53728,0.4924,0.5314,0.50258,0.59286,0.4897,0.5098,0.55062,0.6865,0.484,0.512,0.60778,0.80464,0.4838,0.5366,0.65872,0.84256,0.4673,0.4893,0.72894
False,0.873740017414093,0.44190001487731934,0.40362,0.3986,0.4039,0.40006,0.51136,0.4786,0.5246,0.47878,0.53598,0.4741,0.4938,0.50462,0.61236,0.4756,0.5024,0.55868,0.73352,0.4694,0.5282,0.59508,0.79612,0.4455,0.4795,0.64708
False,0.864139974117279,0.4458000063896179,0.42396,0.4185,0.4181,0.41706,0.51764,0.481,0.524,0.48522,0.55814,0.4728,0.4956,0.52332,0.65312,0.4774,0.5064,0.58218,0.76468,0.4655,0.5294,0.62714,0.81856,0.4478,0.481,0.69962
False,0.8797799944877625,0.451200008392334,0.4208,0.411,0.412,0.41314,0.52094,0.4868,0.5313,0.4887,0.57046,0.4813,0.4996,0.52944,0.65366,0.4801,0.507,0.58476,0.7739,0.4725,0.5386,0.62328,0.82222,0.454,0.4827,0.69954
False,0.8762400150299072,0.4377000033855438,0.4096,0.4002,0.4036,0.40452,0.5126,0.4788,0.5199,0.48062,0.5529,0.4732,0.4986,0.52054,0.63178,0.4704,0.5017,0.5637,0.76092,0.4627,0.5273,0.61422,0.81786,0.4397,0.4764,0.68852
False,0.8835800290107727,0.45969998836517334,0.43218,0.4199,0.4195,0.42542,0.53688,0.4898,0.5406,0.50146,0.60276,0.4925,0.5152,0.55444,0.69734,0.484,0.5148,0.60988,0.8075,0.4722,0.5346,0.66292,0.84446,0.4592,0.4884,0.73678
False,0.8718600273132324,0.4530999958515167,0.41394,0.4079,0.4099,0.40842,0.5208,0.4855,0.5265,0.48796,0.5574,0.4746,0.4938,0.5248,0.63906,0.4845,0.5088,0.57706,0.7505,0.4744,0.5257,0.61472,0.8021,0.4563,0.487,0.6789
False,0.8906999826431274,0.45320001244544983,0.42772,0.4173,0.4184,0.42296,0.52552,0.4908,0.5371,0.49352,0.58002,0.4797,0.4994,0.53456,0.67402,0.4798,0.5133,0.5942,0.8016,0.4748,0.5353,0.64256,0.85662,0.4562,0.4853,0.73002
False,0.8807399868965149,0.4586000144481659,0.42448,0.4117,0.4144,0.41834,0.52478,0.4867,0.529,0.492,0.5713,0.4831,0.5043,0.53348,0.66442,0.4838,0.511,0.59132,0.79156,0.4754,0.5374,0.64962,0.84964,0.4602,0.4908,0.72178
False,0.8736400008201599,0.4580000042915344,0.41176,0.403,0.4056,0.40868,0.51938,0.4796,0.5249,0.48792,0.5631,0.481,0.4983,0.52658,0.64538,0.4806,0.5105,0.582,0.76818,0.4771,0.532,0.6286,0.83028,0.4579,0.4922,0.69702
